model_version,source,interval_prob,Year,analyte,treatment,n_events,load_mean,load_low,load_high,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high
v1p7p5,Observed,0.95,2016,TKN,MT,8,4.71139413,2.6081446865,7.20040808025,41283,27077.22475000001,58028.969999999994,0.11412431582007122,0.0893903917607268,0.12828077561971254
v1p7p5,Observed,0.95,2016,TKN,ST,8,16.79045073,7.221368373750002,27.579004959,156399.24,102220.45500000002,216583.02,0.10735634476228914,0.06663680767997711,0.13721884576380683
v1p7p5,Observed,0.95,2017,TKN,CT,24,5351.036626,2549.966618075,8370.68561705,1206699.65,953377.0802500001,1492792.769,4.434439527681972,2.6241883872658818,5.899661800382582
v1p7p5,Observed,0.95,2017,TKN,MT,17,614.9512767,218.0784871575001,1106.841541355,344083.04,224581.59525000007,453695.31049999996,1.787217634150175,0.6876309958342554,3.138697740857673
v1p7p5,Observed,0.95,2017,TKN,ST,22,167.0563664,48.49712709500002,364.00808419999976,269957.63,186071.62625000006,375860.58549999987,0.61882439255375,0.17463983900888394,1.4161061790095113
v1p7p5,Observed,0.95,2020,TKN,CT,2,62.26314000000001,49.810512,74.71576800000001,41508.76,41508.76,41508.76,1.5,1.2,1.8000000000000003
v1p7p5,Observed,0.95,2020,TKN,ST,12,355.634961,135.1674917000001,599.7239477499999,258637.96,143806.48525000006,383123.4922499999,1.3750300265282016,0.7781979857444317,1.7046935441141295
v1p7p5,Observed,0.95,2021,TKN,CT,10,787.6495080000001,638.1966179750001,915.84075525,141406.26,111415.48400000001,171341.2365,5.570117673715435,5.006873165990218,6.421490894668462
v1p7p5,Observed,0.95,2021,TKN,MT,11,288.5551318,167.65437725500001,431.23402003,113041.86,64695.3985,180882.008,2.5526396310181028,1.6180086425971842,4.296181298684988
v1p7p5,Observed,0.95,2021,TKN,ST,13,607.702709,240.79666062500007,1032.8685206999999,182034.84,90963.18325000003,285943.7462499999,3.3383868110082666,2.2658214379341786,4.151209263714446
v1p7p5,Observed,0.95,2023,TKN,CT,40,3540.988195,2425.3115676775,4795.4070196474995,1647312.4000000001,1400762.0375,1882744.0514999996,2.1495547505136243,1.4852256511935333,2.972907097805179
v1p7p5,Observed,0.95,2023,TKN,MT,45,6649.0157558,3523.7123052950005,10616.807237845,2117365.43,1926711.3925,2334858.6645,3.140230619425953,1.6224392779963683,4.86987483785105
v1p7p5,Observed,0.95,2023,TKN,ST,41,4010.7826098,2681.7302728249997,5496.932088414999,1541566.8599999999,1354320.75,1705126.4569999997,2.601757156222209,1.6910093660937844,3.734904420106381
v1p7p5,Observed,0.95,2024,TKN,CT,16,778.2196911,631.2278791849999,985.7005003024999,760759.5,643640.124,880685.3242499998,1.022950999757479,0.8490817541327097,1.2549982833781284
v1p7p5,Observed,0.95,2024,TKN,MT,14,1071.5197556,469.75906767000026,1776.344516845,852500.98,586994.0457500002,1112396.5255,1.2569132244281995,0.5681260276577997,2.080295424038799
v1p7p5,Observed,0.95,2024,TKN,ST,23,1896.4265947000001,1299.46738126,2469.8373192775,1201750.75,1000371.5525000001,1406642.49025,1.5780531817433856,1.1970374874812841,1.9437111201916575
v1p7p5,Observed,0.95,2025,TKN,CT,44,1404.008197,969.344157525,1939.094558775,2008642.38,1889942.6542500001,2142611.52575,0.6989836573098693,0.49861955137950814,0.9256595646835665
v1p7p5,Observed,0.95,2025,TKN,MT,34,790.383546,417.71574940000005,1183.0699587,1833373.02,1662132.1947500003,1994232.5474999999,0.4311089654848308,0.225426436931853,0.658792953972173
v1p7p5,Observed,0.95,2025,TKN,ST,44,1458.772994,953.7698910750001,2038.35403935,2371308.14,2191445.91775,2548848.34025,0.6151764797636126,0.4143369461314432,0.8322632142148898
v1p7p5,Observed,0.95,2011,TN,CT,6,453.84580454,166.09193031,736.7769699700001,82714.57,51598.58800000001,123546.19,5.4868906957988175,2.3196656707242065,9.015294071266286
v1p7p5,Observed,0.95,2011,TN,MT,3,546.69495822,489.4819737600001,640.1165505,87865,63065.67,110018.61000000002,6.22198780196893,4.639999999999999,10.15
v1p7p5,Observed,0.95,2011,TN,ST,5,504.37529006,317.03650841,682.8302149399999,123379.26,52232.229999999996,192876.03,4.088007093412621,3.4326746340123235,6.3578778398856155
v1p7p5,Observed,0.95,2012,TN,CT,10,266.60769700000003,134.77061730000003,426.935514175,96259,55936.37500000001,133339.8,2.769691114597077,1.757074838008126,3.9793671333150598
v1p7p5,Observed,0.95,2012,TN,MT,7,470.78250599999996,148.248714,951.0723392499999,145992,113659.82500000001,181871,3.2247144090087123,1.0989056480232455,5.738949351560519
v1p7p5,Observed,0.95,2012,TN,ST,5,191.461901,84.67681900000001,305.03220600000003,86096,53485,117640.34999999998,2.223818772068389,1.4657275965839773,2.9388751106007205
v1p7p5,Observed,0.95,2014,TN,CT,19,7010.87967608,3966.0999360745,11703.306751027498,780160.4,634156.3565,929130.3065,8.986459292319886,5.6649828970315665,13.595526634563646
v1p7p5,Observed,0.95,2014,TN,MT,5,32.8749683,0,98.62490489999999,6588.17,0,19764.510000000002,4.99,4.989999999999999,4.99
v1p7p5,Observed,0.95,2014,TN,ST,18,1804.09005134,1148.4223629775001,2568.8403171004993,343538.75,239702.6305,446696.658,5.251489246380503,3.8732749529769768,6.538163354399729
