Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,mean_abs_obs,CRPS_norm_mean
NO2,MT,Bayes,3,1209480.2891025757,1421382.603134571,2.8217775503101317,0.940592516770044,1.9952980408242587,0.0,713194.9047804085,0.95,1114333.8286703916,503718.87145333336,2.2122137799906274
NO2,MT,ML,3,292865.23389907344,465792.6368024949,0.9247075366832824,0.3082358455610942,0.6538669698030573,0.0,5584.502373518558,,670125.0813901824,503718.87145333336,1.3303553219213975
NO2,ST,Bayes,3,1242052.111949685,1337627.2771076057,2.039412871651267,0.6872950260627071,1.4579739691584095,0.0,667791.9393305221,0.95,1152467.862300945,655888.4155833333,1.757109646884012
NO2,ST,ML,3,122412.59729157394,197935.53892379874,0.3017823370881753,0.10170255474868313,0.2157438535092197,0.0,3105.332250992053,,810560.8968374431,655888.4155833333,1.2358213342075075
NO3,CT,Bayes,12,2885690.008832766,3631697.5879212827,1.0575325636689208,0.334748604085902,0.9932564918861211,0.16666666666666666,837217.5900221686,0.95,2775377.6898107855,3434123.65036,0.8081764002644
NO3,CT,ML,12,1573546.224409165,2320758.5727655217,0.6757935383375716,0.21391392698484987,0.6347192911013071,0.08333333333333333,754434.1043399712,,2349618.8482293123,3434123.65036,0.6841975093072148
NO3,MT,Bayes,11,3007837.8427317124,3435283.7158683348,1.3139305032252238,0.23207979324735692,0.8397768020303946,0.0,701835.2898211022,0.95,2905596.904492874,2614509.448890909,1.111335400117007
NO3,MT,ML,11,1449003.6622747416,2250206.9945682413,0.8606612592365244,0.1520187609689614,0.5500773124141486,0.09090909090909091,539163.1895246973,,1674679.0633813327,2614509.448890909,0.6405328020871149
NO3,ST,Bayes,12,2851297.790574852,3283693.4022740126,1.1750875696013334,0.29925826453417215,0.9947433960822988,0.08333333333333333,721975.6777810333,0.95,2747256.601947449,2794424.4218225,0.9831207387443714
NO3,ST,ML,12,638445.9937801767,841115.9076362909,0.30099790893171563,0.07665480785051597,0.2548028673692691,0.0,309291.55452997715,,1717000.87038152,2794424.4218225,0.6144381136140037
NPOC,CT,ML,1,4.656612873077393e-10,4.656612873077393e-10,2.4951339511701895e-16,,,1.0,0.0,,100736.50606527741,1866277.708615,0.05397723264885154
