Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
ML,full_record_model_only,2018,TN,CT,0.2741719158807488,mean_of_replicate_annual_plot_totals,True,"0.2742 (0.2002, 1.486)"
ML,full_record_model_only,2018,TN,MT,0.16446330310393198,mean_of_replicate_annual_plot_totals,True,"0.1645 (0.1204, 0.8949)"
ML,full_record_model_only,2018,TN,ST,0.18082000435785334,mean_of_replicate_annual_plot_totals,True,"0.1808 (0.1278, 1.075)"
ML,full_record_model_only,2018,TP,CT,0.0375856383947221,mean_of_replicate_annual_plot_totals,True,"0.03759 (0.02487, 0.2657)"
ML,full_record_model_only,2018,TP,MT,0.021373120057217553,mean_of_replicate_annual_plot_totals,True,"0.02137 (0.01375, 0.1696)"
ML,full_record_model_only,2018,TP,ST,0.019940176468239347,mean_of_replicate_annual_plot_totals,True,"0.01994 (0.01212, 0.1849)"
ML,full_record_model_only,2018,TSS,CT,22.559943900657974,mean_of_replicate_annual_plot_totals,True,"22.56 (15.95, 125.2)"
ML,full_record_model_only,2018,TSS,MT,13.639179403078305,mean_of_replicate_annual_plot_totals,True,"13.64 (10.43, 72.9)"
ML,full_record_model_only,2018,TSS,ST,15.309354032089965,mean_of_replicate_annual_plot_totals,True,"15.31 (11.19, 80.67)"
ML,full_record_model_only,2019,TN,CT,0.0502709998480851,mean_of_replicate_annual_plot_totals,True,"0.05027 (0.01639, 0.7157)"
ML,full_record_model_only,2019,TN,MT,0.038519985674799403,mean_of_replicate_annual_plot_totals,True,"0.03852 (0.01249, 0.249)"
ML,full_record_model_only,2019,TN,ST,0.032305653402172,mean_of_replicate_annual_plot_totals,True,"0.03231 (0.008778, 0.3979)"
ML,full_record_model_only,2019,TP,CT,0.005441462652841,mean_of_replicate_annual_plot_totals,True,"0.005441 (0.0004924, 0.0881)"
ML,full_record_model_only,2019,TP,MT,0.0043747565972835,mean_of_replicate_annual_plot_totals,True,"0.004375 (0.0004566, 0.03944)"
ML,full_record_model_only,2019,TP,ST,0.00314004322217655,mean_of_replicate_annual_plot_totals,True,"0.00314 (7.284e-05, 0.04097)"
ML,full_record_model_only,2019,TSS,CT,4.798176608825244,mean_of_replicate_annual_plot_totals,True,"4.798 (1.664, 67.57)"
ML,full_record_model_only,2019,TSS,MT,5.851642867126365,mean_of_replicate_annual_plot_totals,True,"5.852 (1.776, 52.56)"
ML,full_record_model_only,2019,TSS,ST,5.355797310267873,mean_of_replicate_annual_plot_totals,True,"5.356 (1.626, 57.95)"
ML,full_record_model_only,2020,TN,CT,0.46123937059825876,mean_of_replicate_annual_plot_totals,True,"0.4612 (0.3687, 2.238)"
ML,full_record_model_only,2020,TN,MT,0.18577600681830025,mean_of_replicate_annual_plot_totals,True,"0.1858 (0.1436, 0.9154)"
ML,full_record_model_only,2020,TN,ST,0.2179827401256483,mean_of_replicate_annual_plot_totals,True,"0.218 (0.1627, 1.105)"
ML,full_record_model_only,2020,TP,CT,0.048421171112230696,mean_of_replicate_annual_plot_totals,True,"0.04842 (0.03572, 0.3054)"
ML,full_record_model_only,2020,TP,MT,0.024647098076348004,mean_of_replicate_annual_plot_totals,True,"0.02465 (0.01866, 0.1814)"
ML,full_record_model_only,2020,TP,ST,0.0273117143949085,mean_of_replicate_annual_plot_totals,True,"0.02731 (0.02041, 0.2272)"
ML,full_record_model_only,2020,TSS,CT,65.32671494550048,mean_of_replicate_annual_plot_totals,True,"65.33 (51.8, 334.2)"
ML,full_record_model_only,2020,TSS,MT,14.259375036657568,mean_of_replicate_annual_plot_totals,True,"14.26 (10.84, 64.95)"
ML,full_record_model_only,2020,TSS,ST,15.65512270125343,mean_of_replicate_annual_plot_totals,True,"15.66 (11.53, 87.37)"
ML,full_record_model_only,2021,TN,CT,0.42672148270968036,mean_of_replicate_annual_plot_totals,True,"0.4267 (0.3349, 2.092)"
ML,full_record_model_only,2021,TN,MT,0.13080210404581005,mean_of_replicate_annual_plot_totals,True,"0.1308 (0.1004, 0.6916)"
ML,full_record_model_only,2021,TN,ST,0.11404608467854195,mean_of_replicate_annual_plot_totals,True,"0.114 (0.08225, 0.6477)"
ML,full_record_model_only,2021,TP,CT,0.0577126100604087,mean_of_replicate_annual_plot_totals,True,"0.05771 (0.03907, 0.4002)"
ML,full_record_model_only,2021,TP,MT,0.020744616468480102,mean_of_replicate_annual_plot_totals,True,"0.02074 (0.01594, 0.1372)"
ML,full_record_model_only,2021,TP,ST,0.0235680608940931,mean_of_replicate_annual_plot_totals,True,"0.02357 (0.01526, 0.1652)"
ML,full_record_model_only,2021,TSS,CT,146.82786221005304,mean_of_replicate_annual_plot_totals,True,"146.8 (110.6, 779.4)"
ML,full_record_model_only,2021,TSS,MT,17.221444835951893,mean_of_replicate_annual_plot_totals,True,"17.22 (13.21, 90.49)"
ML,full_record_model_only,2021,TSS,ST,16.222914277780497,mean_of_replicate_annual_plot_totals,True,"16.22 (11.4, 103.7)"
ML,full_record_model_only,2022,TN,CT,0.2332783128329042,mean_of_replicate_annual_plot_totals,True,"0.2333 (0.1965, 1.143)"
ML,full_record_model_only,2022,TN,MT,0.23564451404494322,mean_of_replicate_annual_plot_totals,True,"0.2356 (0.1968, 1.179)"
ML,full_record_model_only,2022,TN,ST,0.21477692396174405,mean_of_replicate_annual_plot_totals,True,"0.2148 (0.1786, 1.043)"
ML,full_record_model_only,2022,TP,CT,0.0297036212524175,mean_of_replicate_annual_plot_totals,True,"0.0297 (0.02362, 0.1629)"
