model_version,source,interval_prob,interval_type,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,TN,MT,2,2,44909.551177299516,24999.1211939371,65315.19283440706,8.29091498611926,0.830902734703449,15.907616806549974,381.6589706745495,30.64020480512696,868.5889749865423
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,TN,ST,2,2,45121.44241348826,24953.736777237278,65276.2459157626,8.264762873490511,0.43734692479447745,15.905072490938734,381.2730402975697,17.965280098893345,869.9362176813765
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,TN,CT,14,14,203395.72415625447,142958.01600181483,264983.7436059621,6.295614927386409,1.2466084706663614,11.46963569938847,1285.462057493412,242.98506026583595,2518.6596641771675
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,TN,MT,14,14,164852.53578781293,116120.66170335689,209595.812930162,6.0253432146993235,1.1387746948502295,11.39985726759792,996.9155635753247,168.13989390257888,1946.3490456468494
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,TN,ST,14,14,162558.153713379,118783.88687868629,202847.43210803525,6.029632825628347,1.2336403597496177,11.39890379771682,983.4024632820655,207.1226415450314,1874.2316817772573
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,TN,CT,12,12,185059.36596087946,133029.21465121963,238019.33682448335,6.408257365184234,1.4611492347390804,11.59385546506257,1189.924804210213,261.6474990214348,2323.961683353779
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,TN,MT,12,12,143039.85128028065,90393.30587378216,203559.80011493375,6.128004847223782,1.0094290526271905,11.869755270762361,896.686649904871,135.07061790994675,2063.774420687591
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,TN,ST,12,12,144686.39752711792,94815.2110677681,198066.7725520251,6.205282112556931,1.147787521099494,11.637980715859218,910.6387453498211,150.29658959866566,1946.0484811235033
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,TN,CT,16,16,247636.1980449116,185321.4539641537,309471.51201023825,6.216882828216461,1.0790933278713641,11.94826734639584,1543.0817027608682,239.51550355356233,3102.6830083515392
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,TN,MT,16,16,214205.49886105524,165469.8241892843,259377.58974362462,5.863432008921813,0.9024412573158589,11.490849063906094,1260.8859748068578,182.09857047857668,2518.010388964514
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,TN,ST,16,16,219405.20722516303,166949.1990005723,266565.5867427715,5.963927542949601,0.9527084996236543,11.540845200632074,1311.11422985319,208.75957438173035,2613.2789416385767
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,TN,CT,14,14,256250.0159256672,207866.88041678947,307549.1527843118,5.559376985988223,0.5749163973217808,12.399401739570553,1426.7127228564589,136.3783659059174,3269.9739004694193
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,TN,MT,14,14,256672.8902414498,206047.62364569466,311827.70726089645,5.754164726444433,0.6190890794743802,12.435265138837005,1475.4104381734844,169.6651146548311,3281.2563535824966
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,TN,ST,14,14,237433.76107702238,192906.65916728263,283129.5963769149,5.531746302710659,0.4433194279957598,12.344914042977411,1310.8136712696885,103.72896644674906,2928.639892173287
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,TN,CT,8,8,177752.40544183357,143804.8217870137,212870.00509031944,7.549720089942571,0.8302239694861467,15.280188706219887,1347.5312700102731,151.66606791543904,2826.9487820498844
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,TN,MT,8,8,189233.3063071768,147348.53348904668,232512.99895476116,7.652066480925227,0.922308976754242,15.704669082997253,1451.096616816641,171.18623490204973,3101.174215611368
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,TN,ST,8,8,199953.7050056471,168033.74527291095,231710.11029645707,7.952516192009896,1.0485724216803622,15.70475798365593,1592.4943199402464,208.34632604644213,3135.752999741133
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,TN,CT,16,16,276039.9121493964,217863.39724868268,332984.0228634976,6.137975979114391,0.5957005025312021,12.099055288058146,1699.6322041277344,159.5238820818348,3452.3735392699728
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,TN,MT,16,16,287819.4676809641,229331.20648287295,347187.15965522913,6.854711178486225,1.2625794797878638,13.18208445627597,1977.2956922468425,358.2868097256062,3888.9055362519457
