Method,Scenario,Year,Analyte,Treatment,Median_95_interval_kg
Bayes,model_only,2022,TKN,CT,"0.1854 (-0.2051, 0.6296)"
Bayes,model_only,2022,TKN,MT,"0.05381 (-0.3162, 0.4617)"
Bayes,model_only,2022,TKN,ST,"0.08546 (-0.2627, 0.4927)"
Bayes,model_only,2022,TN,CT,"3.033 (0.0481, 5.921)"
Bayes,model_only,2022,TN,MT,"2.458 (-0.2124, 5.022)"
Bayes,model_only,2022,TN,ST,"2.573 (-0.09229, 5.212)"
Bayes,model_only,2022,TP,CT,"-0.225 (-0.5327, 0.07925)"
Bayes,model_only,2022,TP,MT,"-0.07356 (-0.3527, 0.2029)"
Bayes,model_only,2022,TP,ST,"-0.1149 (-0.3931, 0.1696)"
Bayes,model_only,2022,TSS,CT,"115.4 (-152.6, 377.9)"
Bayes,model_only,2022,TSS,MT,"148.6 (-85.77, 386.7)"
Bayes,model_only,2022,TSS,ST,"204.3 (-25.4, 443.6)"
Bayes,model_only,2023,NH4,CT,"0.02976 (-0.04105, 0.1013)"
Bayes,model_only,2023,NH4,MT,"0.02789 (-0.03996, 0.09685)"
Bayes,model_only,2023,NH4,ST,"0.02725 (-0.04093, 0.09531)"
Bayes,model_only,2023,NO2,CT,"-0.5943 (-0.8091, -0.4307)"
Bayes,model_only,2023,NO2,MT,"-0.5692 (-0.7597, -0.4156)"
Bayes,model_only,2023,NO2,ST,"-0.5576 (-0.7512, -0.4053)"
