Method,Scenario,Year,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
Bayes,model_only,2017,TDS,CT,338.43049207405284,335.9913683662297,219.83544676681447,473.6143349718517,1500
Bayes,model_only,2017,TDS,MT,307.3496283492932,304.36618810685366,210.93205151165088,418.2798756444508,1500
Bayes,model_only,2017,TDS,ST,298.07348566498547,296.72838846098006,203.21367389293786,404.05257816857,1500
Bayes,model_only,2017,TKN,CT,0.9346035448654518,0.9269684989673525,0.5489785982465808,1.3488356060723536,1500
Bayes,model_only,2017,TKN,MT,0.3856001577612145,0.38414624524454744,0.09253553115351684,0.683500009294876,1500
Bayes,model_only,2017,TKN,ST,0.3740454908750531,0.3745282060825154,0.09481835841710119,0.6648439235481303,1500
Bayes,model_only,2017,TN,CT,1.8945098561893365,1.8734152327686902,-0.7784650153989602,4.792819232395234,1500
Bayes,model_only,2017,TN,MT,1.3601313164541535,1.351047325470565,-1.0046730819276597,3.7845985516576395,1500
Bayes,model_only,2017,TN,ST,1.2920707550484816,1.2918241011410674,-0.9502132877190825,3.6120019448885223,1500
Bayes,model_only,2017,TP,CT,0.0407849103626316,0.04118097116370819,-0.2370173708223401,0.3199200339141643,1500
Bayes,model_only,2017,TP,MT,-0.020336674906666255,-0.020829189650341265,-0.24746925533624756,0.20132012335815452,1500
Bayes,model_only,2017,TP,ST,-0.01171460741520947,-0.01175375831522419,-0.2260882872234763,0.18670599559333692,1500
Bayes,model_only,2017,TSS,CT,624.5183212011523,619.6035417931597,378.7198455291409,911.4158296446777,1500
Bayes,model_only,2017,TSS,MT,315.61433968538876,314.0837457960465,140.39104424232622,492.9400603761843,1500
Bayes,model_only,2017,TSS,ST,370.80033753138065,368.67823146556367,210.97212994380322,544.4887748790509,1500
Bayes,model_only,2018,NH4,CT,0.04035272662810161,0.03653293581344064,-0.0021207483722317697,0.0986923556947303,1500
Bayes,model_only,2018,NH4,MT,0.04077810499374499,0.03698264638971186,-0.003432936656678468,0.10090121412797232,1500
Bayes,model_only,2018,NH4,ST,0.042489201173067696,0.03834956186037522,0.001048511291698764,0.10153567714585797,1500
Bayes,model_only,2018,NO2,CT,0.06933122089020498,0.04982422997125761,-0.4339108590161144,0.6688487102629156,1500
Bayes,model_only,2018,NO2,MT,0.06417220777833982,0.05444754838319882,-0.42567624891658495,0.6611628463565624,1500
