Year,Treatment,Analyte,mean,median,low,high,n_draws
2017,ST,NO3,1466888.3235912188,1456639.9775905525,1273589.1400449616,1713633.430661403,2000
2017,ST,NOx,398070.7793810126,397740.2383299628,271820.9416166942,535358.4661614366,2000
2017,ST,NPOC,507632.7973307916,507515.0935841879,356090.33425072976,669951.2855076159,2000
2017,ST,OP,24713.557661392646,24335.97916896558,11584.731593248316,39591.05101565338,2000
2017,ST,Se,84288.86275336047,83517.90672332287,55496.3657046922,114238.4945629866,2000
2017,ST,TDS,863245.4381922819,859036.0127118314,631986.9896579409,1127516.0769605876,2000
2017,ST,TKN,110913.98018632819,109102.83991026322,87289.05247478223,141744.48498557886,2000
2017,ST,TN,293291.8533597692,291158.62140513194,193325.38672026843,398372.43427158013,2000
2017,ST,TP,40442.16671946072,39510.70586678109,29115.83285603023,54002.57789743342,2000
2017,ST,TSP,93877.09705927498,93383.67779501052,59831.46528514958,131205.16127428884,2000
2017,ST,TSS,124074727.92317651,124043966.25095695,122656835.05166501,125958656.91231406,2000
2018,CT,ICP,1842933.6005628433,1478988.9504404052,97452.41358814805,5468469.372610804,2000
2018,CT,NH4,1768686.0202465113,1418492.4868102954,114674.99602327259,5378036.018798885,2000
2018,CT,NO2,2026694.7725632577,1568509.0445159562,119836.12095071533,6545223.950798933,2000
2018,CT,NO3,10198678.247587182,8463883.148217175,808371.1343618678,29436443.014235597,2000
2018,CT,NOx,12443668.711986559,10159332.728133032,958196.5605659622,35834696.382666975,2000
2018,CT,NPOC,13587588.87764345,11405399.929215875,1025556.1887923854,37285208.29798808,2000
2018,CT,OP,1453707.5741142533,1183273.9678505918,84244.35842739526,4275015.090936845,2000
2018,CT,Se,1443200.8164164822,1152149.0220557943,92918.76511445711,4362611.734132923,2000
2018,CT,TDS,24744390.92060897,20421896.06097019,1889765.664625232,68170097.79351051,2000
2018,CT,TKN,7406776.974400885,5949164.087625568,529866.5749354523,21236573.714938134,2000
2018,CT,TN,6981469.352242779,5769053.894546017,457822.9824286766,19778753.341557547,2000
2018,CT,TP,2204093.551701033,1776089.0372795542,141026.47316146077,6577643.523736315,2000
2018,CT,TSP,1772160.4960992734,1392458.4653810654,108503.05003107931,5565282.245394078,2000
2018,CT,TSS,1090002126.520988,934598129.6471782,87790122.47846678,3053808686.6808753,2000
2018,MT,ICP,1321764.8752520445,1041384.9962984533,87070.24821627614,4077323.514169156,2000
2018,MT,NH4,1329420.5598968717,1085411.2795537193,77310.37184834838,3862797.6421969607,2000
2018,MT,NO2,1678158.8286041277,1308904.0765386126,107757.89926088188,4984380.501640409,2000
2018,MT,NO3,8763175.911117109,7415784.640699528,697388.9155833285,25348280.09848281,2000
2018,MT,NOx,7269846.082121355,5984224.904601922,554301.1829583033,21546308.60031514,2000
2018,MT,NPOC,7666663.364580185,6193900.39986475,607260.6697661368,22898525.899027836,2000
2018,MT,OP,1365942.2423472719,1089842.69717381,93951.72933790868,3957830.4381752284,2000
2018,MT,Se,1248970.0230968464,979718.8139878621,78059.22723158816,3787282.6128426283,2000
2018,MT,TDS,13651933.386256887,11253023.25600216,1201127.9332303046,39060060.38862676,2000
2018,MT,TKN,3646432.3138493625,2887613.140666145,263513.78668672196,11636316.024741912,2000
2018,MT,TN,4214450.326520836,3229400.8715822557,298554.58835540066,12759313.206022466,2000
2018,MT,TP,1919528.1378044244,1487037.5637933887,124434.07986260169,5959269.4902689755,2000
2018,MT,TSP,1306846.456783461,1036605.8080913095,77940.68220361193,3950572.5179970614,2000
2018,MT,TSS,571552580.9368333,483223800.0651536,51758383.42795371,1557260375.2518158,2000
2018,ST,ICP,1165379.2916295547,913330.2028524987,72952.48025946581,3477014.729264437,2000
2018,ST,NH4,1160826.4647567605,899476.9970921336,72406.61776822955,3524132.405686872,2000
2018,ST,NO2,1523129.0095274574,1194494.5662406376,100012.77586905933,4431050.106145343,2000
2018,ST,NO3,8290122.603195451,6801074.500182678,724596.4871824883,24506856.980576314,2000
2018,ST,NOx,6446949.729402966,5139600.245618314,514032.2597073854,18798315.605783515,2000
2018,ST,NPOC,6814941.649323248,5575537.810077938,530124.4913237268,20474507.178253602,2000
2018,ST,OP,1254317.9127777133,962792.1900655819,85836.31969464666,3817237.6079133437,2000
2018,ST,Se,1107834.6420531957,870154.4934781832,76259.67724279266,3419329.650811158,2000
2018,ST,TDS,11905750.3930793,9797994.90182838,1004196.6142488382,33309143.25655501,2000
2018,ST,TKN,3331640.7877279227,2557149.7998106787,222167.510838074,9814820.382974321,2000
2018,ST,TN,3795062.492954247,2944176.242004484,254190.35245894233,11711199.158444166,2000
2018,ST,TP,1723668.8676468646,1350695.6847719376,122424.20443670257,5161260.453764117,2000
2018,ST,TSP,1135846.8898317667,898080.2765206445,80387.79808166833,3334777.1590158427,2000
2018,ST,TSS,524960358.4905521,439157089.562446,46614825.81060084,1469052112.8104978,2000
2019,CT,ICP,370191.23023958574,78214.47494580415,449.40375553106696,2394975.342924277,2000
2019,CT,NH4,361263.6567082722,74105.39021100749,404.08925664314614,2288742.1770026702,2000
2019,CT,NO2,404022.78243317205,77479.840964538,506.5625513384852,2741750.3362963563,2000
2019,CT,NO3,1932684.0044400706,476576.81763185404,2539.2664239447067,12106287.750523629,2000
2019,CT,NOx,2387122.5476678596,622080.1543186866,3202.76703990632,15169443.724068945,2000
2019,CT,NPOC,2751467.458839057,760198.5676710035,4039.4727950404704,17592433.6933716,2000
2019,CT,OP,346738.39843807684,71488.37418115512,383.91581948143937,2347177.5743642743,2000
2019,CT,Se,305523.2798029491,64759.515396309245,370.7140713500762,2026869.9903621087,2000
2019,CT,TDS,5266374.3871129835,1397659.073691303,7928.673379508576,31644811.44508988,2000
2019,CT,TKN,1145870.1357076026,248802.37564129016,1449.1137259838158,7692008.183881529,2000
2019,CT,TN,1409224.0621294049,320123.7374834375,1837.6735700374534,9366582.78016387,2000
2019,CT,TP,443906.8923343835,92688.25582809842,505.72654950546456,3182432.180346688,2000
2019,CT,TSP,374246.75860395934,75587.25390947034,396.94791698112317,2474556.0537305996,2000
2019,CT,TSS,454252547.6979489,127074835.83992434,598481.6644496442,2802077263.882962,2000
2019,MT,ICP,260295.03796587887,52291.5108852302,244.65898743810797,1670584.3879911772,2000
2019,MT,NH4,253921.7786820268,51774.62825355366,254.61423634781536,1692318.0146859838,2000
2019,MT,NO2,281141.645101277,58186.328322510584,264.5477111033913,1811523.6944523354,2000
2019,MT,NO3,1304536.439550866,317662.5566421835,1563.5331351917869,7644130.668123509,2000
2019,MT,NOx,1544141.7597298676,376695.9354261992,1848.3272288128014,9660580.711706426,2000
2019,MT,NPOC,1754580.8298357914,434612.1568684124,2295.2898613427838,10453202.052154431,2000
2019,MT,OP,229251.527168792,46817.67322037016,247.10043164918045,1507651.6028528775,2000
2019,MT,Se,208955.07311594975,41591.8438781475,248.75598208793602,1301055.4618119118,2000
2019,MT,TDS,3062007.4364515026,771369.0778779573,4136.750890279353,17201583.15917991,2000
2019,MT,TKN,678406.8916593979,131300.0580691663,736.9545626378002,4606087.498187231,2000
2019,MT,TN,920189.639903362,201709.3772256921,1071.031407810918,5926893.40483476,2000
2019,MT,TP,298442.9903909325,60605.58958659039,324.763807357448,1852258.5921297788,2000
2019,MT,TSP,251321.08874303373,52956.51487188578,256.713436720039,1566577.9239097123,2000
2019,MT,TSS,227738683.62297437,62654211.03181507,340026.0929515032,1275894627.754163,2000
2019,ST,ICP,270174.29195454426,66095.98593311518,328.11221178764515,1772773.2091145057,2000
2019,ST,NH4,263391.09999708406,61022.51590915232,295.49699958451197,1620492.4478067886,2000
2019,ST,NO2,299484.47587065684,70677.35230771764,355.4221631239977,1859612.1243451266,2000
2019,ST,NO3,1472012.8256564136,418881.34379206365,2338.406891532467,8364297.561451346,2000
2019,ST,NOx,1677786.5134849362,455008.66049716517,2538.673324954884,9704082.126799341,2000
2019,ST,NPOC,2009189.961130036,547712.5732025692,3442.801258277754,11973224.185304448,2000
2019,ST,OP,243178.23813095325,58734.662529531226,297.93798346546504,1470124.2043618802,2000
2019,ST,Se,227818.76902504193,54377.98453444314,274.95693141060576,1404490.6972196805,2000
2019,ST,TDS,3268449.256137743,1016965.7918921323,5121.760010032156,18665023.639205135,2000
2019,ST,TKN,688031.0970275314,162510.17579131192,819.2156826628087,4436456.585033591,2000
2019,ST,TN,971467.391020569,267022.5102872966,1481.538968155636,6200272.421867616,2000
2019,ST,TP,339747.1401592536,79413.61893931247,404.10772629782184,2154254.582287572,2000
2019,ST,TSP,259584.20863994106,60844.68194476329,350.65529354482607,1610186.5958721149,2000
2019,ST,TSS,272348398.35700357,85341269.2500769,462432.1905864242,1578811318.1456423,2000
2020,CT,ICP,3024461.320412082,2642154.5327157895,396306.8032699832,7854411.360794499,2000
2020,CT,NH4,3032786.2092228276,2645846.1041928334,443496.37927085714,7596976.150264969,2000
2020,CT,NO2,2611920.9907374047,2218476.034410931,353032.5466505617,6741246.631043319,2000
2020,CT,NO3,25135450.720075455,23462120.68975606,4291300.549354373,57959824.19644928,2000
2020,CT,NOx,19343531.55034025,17042372.026882872,3060521.848704224,48032706.099573545,2000
2020,CT,NPOC,21688476.1312355,19245451.031702865,3283018.8286533947,51733689.44987153,2000
2020,CT,OP,912131.9752373,562613.7563135072,23874.52511520148,3351740.179678006,2000
2020,CT,Se,851600.0691722136,556598.3427329892,30587.966060079565,3141998.600985395,2000
2020,CT,TDS,38766007.0105051,35259234.08986427,5991706.661351033,92664260.4117959,2000
2020,CT,TKN,8800640.653076177,7787271.765653364,1346039.2103206855,22178145.216605943,2000
2020,CT,TN,12047021.70986008,10405897.302285168,1729348.881535841,30130091.53954695,2000
