Method,Scenario,Analyte,Draw,CT,MT,ComparisonTreatment,valid_percent_denominator,AbsoluteDifference_CT_minus_T_kg,PercentDifferenceRelativeToCT,TreatmentLowerThanCT,ST
BayesSensitivity,annual_draw_truncation_at_zero,NH4,722,0.3070741925839593,0.2797610137455597,MT,True,0.02731317883839962,8.89465135723893,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,729,0.23631840388676,0.2027993728301403,MT,True,0.033519031056619714,14.183842860026042,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,730,0.2772388626605563,0.3410065290254288,MT,True,-0.06376766636487247,-23.00098397205873,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,731,0.3259256607215435,0.23060884167347148,MT,True,0.09531681904807202,29.244956913505042,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,732,0.31883353570505085,0.3323434004394329,MT,True,-0.013509864734382038,-4.237278460845428,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,735,0.291789266439994,0.33196137658622876,MT,True,-0.040172110146234785,-13.767507844397054,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,736,0.43654075479395454,0.4737848808580525,MT,True,-0.03724412606409794,-8.531649257278856,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,738,0.4332742028473106,0.4904920244207645,MT,True,-0.0572178215734539,-13.205914683459223,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,740,0.2768994990350978,0.2972670632992574,MT,True,-0.020367564264159588,-7.355580033598379,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,741,0.2269436588016222,0.2382771993562021,MT,True,-0.011333540554579885,-4.993988646533125,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,745,0.2919839562197342,0.26992996680946185,MT,True,0.022053989410272368,7.55315110316387,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,756,0.31352034147410857,0.26003086396422226,MT,True,0.05348947750988631,17.060927293709145,1.0,
