Method,Scenario,Year,Outcome,ComparisonTreatment,mean,median,lower_95,upper_95,n_valid_percent_draws,n_total_draws,ct_annual_total_median,ct_annual_total_lower_95,ct_annual_total_upper_95,n_invalid_percent_draws,fraction_invalid_percent_draws,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval,definition
Bayes,model_only,2016,TSS,MT,-71.63266908862164,-97.75469807536427,-100.0,48.93080469910385,1180,1500,9.629121297280056,0.0,77.94142945878313,320,0.21333333333333335,,-97.75469807536427,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2016,TSS,ST,-66.6037019060591,-95.37810203326606,-100.00000000000001,132.3614868532361,1180,1500,9.629121297280056,0.0,77.94142945878313,320,0.21333333333333335,,-95.37810203326606,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,Runoff volume,MT,-40.33491769405004,-41.07738629628287,-59.38867881904869,-17.601264979359623,1500,1500,209727.79753377827,159872.70036934497,254890.06303543513,0,0.0,,-41.07738629628287,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,Runoff volume,ST,-45.01451240132708,-45.66418988996069,-63.782982645358175,-21.09731812456301,1500,1500,209727.79753377827,159872.70036934497,254890.06303543513,0,0.0,,-45.66418988996069,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,TN,MT,-44.97568971848845,-47.86149742295172,-85.94164470151617,-4.441820643071814,1457,1500,1.1280834406836737,0.0,3.463472050626483,43,0.028666666666666667,,-47.86149742295172,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,TN,ST,-52.72976327128755,-54.48812214396036,-90.7240828138554,-15.537290260459045,1457,1500,1.1280834406836737,0.0,3.463472050626483,43,0.028666666666666667,,-54.48812214396036,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,TP,MT,-86.47745250808826,-97.07458716262875,-100.0,-33.744612686052776,1418,1500,0.046852324569251314,0.0,0.22997462149088924,82,0.05466666666666667,,-97.07458716262875,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,TP,ST,-83.13367057122551,-98.52336266911013,-100.0,-40.561319464398835,1418,1500,0.046852324569251314,0.0,0.22997462149088924,82,0.05466666666666667,,-98.52336266911013,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,TSS,MT,-88.41372067067921,-90.91912861908666,-100.0,-63.89955922369782,1500,1500,228.66310549925484,78.95727808033587,505.3136168565368,0,0.0,,-90.91912861908666,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2017,TSS,ST,-88.43726202864508,-90.56901263399982,-100.0,-64.27804930036845,1500,1500,228.66310549925484,78.95727808033587,505.3136168565368,0,0.0,,-90.56901263399982,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
