variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,probability_positive,parameter_family,parameter_index,analyte,rhat_threshold,rhat_status
RES_unit_miss_logit[26],-0.71357854846675,-0.7374635,2.9394880898005997,2.835731955,-5.50256,4.164582499999997,1.0041092077443512,1913.5542720736462,2147.2272774489506,0.395,RES_unit_miss_logit,26,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[27],-0.69363386405085,-0.624449,2.8940562983314035,2.7434682743999996,-5.587265499999999,3.867859499999996,1.0027065338713013,1952.0031993479715,2111.9196800717173,0.4075,RES_unit_miss_logit,27,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[28],-0.7836252700475,-0.7426999999999999,2.9144228886392596,2.8126033949999996,-5.670895,3.9170549999999995,1.0020572286442857,1956.3737766376992,1748.69461091911,0.3915,RES_unit_miss_logit,28,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[29],-0.71930808003075,-0.725202,2.917776184987341,2.815598247,-5.412491999999999,4.153015499999999,1.0021871493112,1944.7611039449005,1897.5540692788534,0.40475,RES_unit_miss_logit,29,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[30],-0.77403018596,-0.6785245,2.857131994910589,2.6572343279999995,-5.6808525,3.6726114999999995,1.0034033120644625,1803.9622642788868,1682.891550903402,0.397,RES_unit_miss_logit,30,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[31],-2.9278691951425,-2.79928,2.008771159613339,1.9167126929999998,-6.2859774999999996,0.15632254999999812,1.0007436023374883,1465.5509989213713,1461.2458296731675,0.0605,RES_unit_miss_logit,31,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[32],-2.2089513957675,-2.200855,2.405763516282493,2.3305367462999995,-6.170203,1.6557319999999978,1.0056014558720778,549.7770188487727,861.4906260694617,0.165,RES_unit_miss_logit,32,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[33],-1.784678208487175,-1.749055,2.574013064329122,2.5329984525299998,-6.041279000000001,2.372253499999998,1.0054583978425997,474.03571218252836,1270.8705987839874,0.235,RES_unit_miss_logit,33,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[34],-1.7833795434125,-1.736355,2.300441482168752,2.2035757779,-5.622001,1.8805724999999995,1.0046030983542138,786.0303607233586,1040.3806001047471,0.20925,RES_unit_miss_logit,34,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[35],-0.982351881112,-0.7896835,2.482561960388613,2.2625017149,-5.278803,2.9379069999999983,1.0038844071649593,704.1197130426341,1659.8430329438052,0.35125,RES_unit_miss_logit,35,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[36],-0.54940897075975,-0.301913,2.600554490217391,2.322144489,-5.272366,3.408629999999999,1.0048318521913844,565.43467407927,1668.8431992337435,0.44175,RES_unit_miss_logit,36,NA,1.04,at_or_below_1.04
